8
1: [1]
2: [2]
3: [195]
4: [4]
5: [85]
6: [15]
7: [15]
8: [8]
9: [15]
10: [170]
11: [15]
12: [60]
13: [15]
14: [15]
15: [15]
16: [16]
17: [85]
18: [243]
19: [243]
20: [85]
21: [85]
22: [63]
23: [63]
24: [60]
25: [63]
26: [63]
27: [63]
28: [60]
29: [63]
30: [63]
31: [63]
32: [32]
33: [243]
34: [170]
35: [243]
36: [60]
37: [63]
38: [63]
39: [63]
40: [170]
41: [63]
42: [170]
43: [63]
44: [60]
45: [63]
46: [63]
47: [63]
48: [60]
49: [243]
50: [243]
51: [243]
52: [60]
53: [63]
54: [63]
55: [63]
56: [60]
57: [63]
58: [63]
59: [63]
60: [60]
61: [63]
62: [63]
63: [63]
64: [64]
65: [85]
66: [195]
67: [195]
68: [85]
69: [85]
70: [207]
71: [207]
72: [252]
73: [207]
74: [207]
75: [207]
76: [252]
77: [207]
78: [207]
79: [207]
80: [85]
81: [85]
82: [243]
83: [243]
84: [85]
85: [85]
86: [85, 2]
87: [85, 2]
88: [252]
89: [85, 8]
90: [255]
91: [255]
92: [252]
93: [85, 8]
94: [255]
95: [255]
96: [240]
97: [243]
98: [243]
99: [243]
100: [252]
101: [85, 32]
102: [255]
103: [255]
104: [252]
105: [255]
106: [170, 64]
107: [255]
108: [252]
109: [255]
110: [255]
111: [255]
112: [240]
113: [243]
114: [243]
115: [243]
116: [252]
117: [85, 32]
118: [255]
119: [255]
120: [252]
121: [255]
122: [255]
123: [255]
124: [252]
125: [255]
126: [255]
127: [255]
128: [128]
129: [195]
130: [170]
131: [195]
132: [252]
133: [207]
134: [207]
135: [207]
136: [170]
137: [207]
138: [170]
139: [207]
140: [252]
141: [207]
142: [207]
143: [207]
144: [240]
145: [243]
146: [243]
147: [243]
148: [252]
149: [85, 128]
150: [255]
151: [255]
152: [252]
153: [255]
154: [170, 16]
155: [255]
156: [252]
157: [255]
158: [255]
159: [255]
160: [170]
161: [243]
162: [170]
163: [243]
164: [252]
165: [255]
166: [170, 4]
167: [255]
168: [170]
169: [170, 1]
170: [170]
171: [170, 1]
172: [252]
173: [255]
174: [170, 4]
175: [255]
176: [240]
177: [243]
178: [243]
179: [243]
180: [252]
181: [255]
182: [255]
183: [255]
184: [252]
185: [255]
186: [170, 16]
187: [255]
188: [252]
189: [255]
190: [255]
191: [255]
192: [195]
193: [195]
194: [195]
195: [195]
196: [252]
197: [207]
198: [207]
199: [207]
200: [252]
201: [207]
202: [207]
203: [207]
204: [252]
205: [207]
206: [207]
207: [207]
208: [240]
209: [243]
210: [243]
211: [243]
212: [252]
213: [85, 128]
214: [255]
215: [255]
216: [252]
217: [255]
218: [255]
219: [255]
220: [252]
221: [255]
222: [255]
223: [255]
224: [240]
225: [243]
226: [243]
227: [243]
228: [252]
229: [255]
230: [255]
231: [255]
232: [252]
233: [255]
234: [170, 64]
235: [255]
236: [252]
237: [255]
238: [255]
239: [255]
240: [240]
241: [243]
242: [243]
243: [243]
244: [252]
245: [255]
246: [255]
247: [255]
248: [252]
249: [255]
250: [255]
251: [255]
252: [252]
253: [255]
254: [255]
255: [255]
