6
1: [1]
2: [2]
3: [7]
4: [4]
5: [21]
6: [7]
7: [7]
8: [8]
9: [63]
10: [42]
11: [63]
12: [63]
13: [63]
14: [63]
15: [63]
16: [16]
17: [21]
18: [63]
19: [63]
20: [21]
21: [21]
22: [63]
23: [63]
24: [56]
25: [63]
26: [63]
27: [63]
28: [63]
29: [63]
30: [63]
31: [63]
32: [32]
33: [63]
34: [42]
35: [63]
36: [63]
37: [63]
38: [63]
39: [63]
40: [42]
41: [63]
42: [42]
43: [63]
44: [63]
45: [63]
46: [63]
47: [63]
48: [56]
49: [63]
50: [63]
51: [63]
52: [63]
53: [63]
54: [63]
55: [63]
56: [56]
57: [63]
58: [63]
59: [63]
60: [63]
61: [63]
62: [63]
63: [63]
