6
1: [1]
2: [43]
3: [63]
4: [4]
5: [37]
6: [6]
7: [7]
8: [8]
9: [9]
10: [47]
11: [47]
12: [12]
13: [13]
14: [14]
15: [63]
16: [16]
17: [55]
18: [18]
19: [55]
20: [31]
21: [21]
22: [22]
23: [23]
24: [24]
25: [25]
26: [26]
27: [31]
28: [60]
29: [63]
30: [62]
31: [31]
32: [32]
33: [37]
34: [34]
35: [35]
36: [55]
37: [47]
38: [38]
39: [47]
40: [60]
41: [43]
42: [42]
43: [43]
44: [44]
45: [45]
46: [62]
47: [47]
48: [48]
49: [49]
50: [50]
51: [51]
52: [62]
53: [53]
54: [54]
55: [55]
56: [56]
57: [63]
58: [63]
59: [59]
60: [62]
61: [61]
62: [62]
63: [63]
