6
1: [1]
2: [2]
3: [35]
4: [5]
5: [5]
6: [22]
7: [63]
8: [40]
9: [25]
10: [10]
11: [31]
12: [28]
13: [61]
14: [63]
15: [63]
16: [16]
17: [25]
18: [22]
19: [63]
20: [28]
21: [63]
22: [31]
23: [63]
24: [24]
25: [61]
26: [58]
27: [63]
28: [28]
29: [63]
30: [31]
31: [63]
32: [32]
33: [35]
34: [35]
35: [35]
36: [36]
37: [61]
38: [63]
39: [63]
40: [40]
41: [63]
42: [63]
43: [63]
44: [61]
45: [63]
46: [63]
47: [63]
48: [58]
49: [63]
50: [58]
51: [63]
52: [63]
53: [61]
54: [63]
55: [63]
56: [63]
57: [63]
58: [63]
59: [63]
60: [63]
61: [63]
62: [63]
63: [63]
