6
1: [1]
2: [2]
3: [11]
4: [4]
5: [5]
6: [38]
7: [23]
8: [12]
9: [9]
10: [11]
11: [11]
12: [12]
13: [61]
14: [63]
15: [15]
16: [16]
17: [17]
18: [18]
19: [23]
20: [20]
21: [61]
22: [63]
23: [63]
24: [24]
25: [63]
26: [63]
27: [59]
28: [61]
29: [63]
30: [63]
31: [63]
32: [33]
33: [33]
34: [34]
35: [63]
36: [38]
37: [63]
38: [47]
39: [47]
40: [63]
41: [41]
42: [47]
43: [63]
44: [60]
45: [47]
46: [63]
47: [63]
48: [60]
49: [63]
50: [59]
51: [63]
52: [63]
53: [61]
54: [54]
55: [63]
56: [59]
57: [61]
58: [59]
59: [63]
60: [63]
61: [63]
62: [63]
63: [63]
