6
1: [1]
2: [15]
3: [11]
4: [36]
5: [13]
6: [6]
7: [63]
8: [8]
9: [11]
10: [10]
11: [43]
12: [30]
13: [13]
14: [14]
15: [15]
16: [16]
17: [17]
18: [51]
19: [55]
20: [63]
21: [29]
22: [22]
23: [55]
24: [29]
25: [63]
26: [30]
27: [63]
28: [63]
29: [63]
30: [30]
31: [63]
32: [32]
33: [57]
34: [43]
35: [35]
36: [36]
37: [55]
38: [38]
39: [63]
40: [44]
41: [63]
42: [42]
43: [43]
44: [44]
45: [47]
46: [47]
47: [63]
48: [48]
49: [51]
50: [55]
51: [59]
52: [63]
53: [55]
54: [63]
55: [63]
56: [57]
57: [59]
58: [63]
59: [63]
60: [63]
61: [63]
62: [63]
63: [63]
