6
1: [1]
2: [18]
3: [11]
4: [4]
5: [15]
6: [15]
7: [63]
8: [8]
9: [9]
10: [11]
11: [15]
12: [63]
13: [63]
14: [15]
15: [63]
16: [16]
17: [63]
18: [18]
19: [59]
20: [28]
21: [55]
22: [22]
23: [63]
24: [28]
25: [31]
26: [59]
27: [63]
28: [61]
29: [63]
30: [31]
31: [63]
32: [32]
33: [63]
34: [34]
35: [39]
36: [39]
37: [47]
38: [47]
39: [63]
40: [59]
41: [59]
42: [62]
43: [59]
44: [44]
45: [63]
46: [63]
47: [47]
48: [48]
49: [49]
50: [50]
51: [55]
52: [62]
53: [63]
54: [63]
55: [63]
56: [61]
57: [61]
58: [63]
59: [59]
60: [60]
61: [63]
62: [63]
63: [63]
