6
1: [1]
2: [6]
3: [19]
4: [4]
5: [37]
6: [6]
7: [63]
8: [8]
9: [11]
10: [11]
11: [11]
12: [28]
13: [63]
14: [63]
15: [63]
16: [16]
17: [19]
18: [18]
19: [63]
20: [28]
21: [63]
22: [63]
23: [63]
24: [28]
25: [63]
26: [63]
27: [63]
28: [28]
29: [63]
30: [63]
31: [63]
32: [32]
33: [37]
34: [34]
35: [63]
36: [37]
37: [37]
38: [63]
39: [63]
40: [56]
41: [63]
42: [63]
43: [63]
44: [63]
45: [63]
46: [63]
47: [63]
48: [56]
49: [63]
50: [63]
51: [63]
52: [63]
53: [63]
54: [63]
55: [63]
56: [63]
57: [63]
58: [63]
59: [63]
60: [63]
61: [63]
62: [63]
63: [63]
