6
1: [1]
2: [22]
3: [27]
4: [22]
5: [63]
6: [22]
7: [63]
8: [40]
9: [27]
10: [27]
11: [27]
12: [63]
13: [63]
14: [63]
15: [63]
16: [22]
17: [27]
18: [22]
19: [27]
20: [22]
21: [63]
22: [22]
23: [63]
24: [27]
25: [27]
26: [27]
27: [27]
28: [63]
29: [63]
30: [63]
31: [63]
32: [40]
33: [63]
34: [63]
35: [63]
36: [63]
37: [63]
38: [63]
39: [63]
40: [40]
41: [63]
42: [63]
43: [63]
44: [63]
45: [63]
46: [63]
47: [63]
48: [63]
49: [63]
50: [63]
51: [63]
52: [63]
53: [63]
54: [63]
55: [63]
56: [63]
57: [63]
58: [63]
59: [63]
60: [63]
61: [63]
62: [63]
63: [63]
