6
1: [1]
2: [31]
3: [3]
4: [12]
5: [15]
6: [47]
7: [7]
8: [12]
9: [9]
10: [15]
11: [31]
12: [46]
13: [15]
14: [15]
15: [15]
16: [16]
17: [57]
18: [31]
19: [63]
20: [62]
21: [31]
22: [63]
23: [31]
24: [24]
25: [57]
26: [31]
27: [63]
28: [63]
29: [63]
30: [63]
31: [63]
32: [32]
33: [33]
34: [46]
35: [63]
36: [36]
37: [63]
38: [62]
39: [55]
40: [40]
41: [57]
42: [62]
43: [47]
44: [46]
45: [63]
46: [46]
47: [63]
48: [62]
49: [49]
50: [55]
51: [63]
52: [52]
53: [63]
54: [54]
55: [63]
56: [56]
57: [57]
58: [62]
59: [59]
60: [63]
61: [61]
62: [63]
63: [63]
