6
1: [1]
2: [10]
3: [27]
4: [47]
5: [31]
6: [6]
7: [7]
8: [10]
9: [9]
10: [10]
11: [11]
12: [47]
13: [13]
14: [14]
15: [15]
16: [58]
17: [17]
18: [18]
19: [19]
20: [55]
21: [21]
22: [22]
23: [23]
24: [27]
25: [25]
26: [26]
27: [27]
28: [28]
29: [29]
30: [31]
31: [31]
32: [40]
33: [33]
34: [34]
35: [47]
36: [36]
37: [63]
38: [38]
39: [55]
40: [40]
41: [41]
42: [58]
43: [43]
44: [44]
45: [45]
46: [63]
47: [47]
48: [48]
49: [49]
50: [62]
51: [51]
52: [63]
53: [53]
54: [54]
55: [55]
56: [56]
57: [57]
58: [58]
59: [59]
60: [60]
61: [61]
62: [62]
63: [63]
