6
1: [1]
2: [2]
3: [3]
4: [4]
5: [63]
6: [47]
7: [63]
8: [8]
9: [29]
10: [30]
11: [43]
12: [12]
13: [29]
14: [63]
15: [15]
16: [16]
17: [17]
18: [59]
19: [55]
20: [29]
21: [21]
22: [22]
23: [63]
24: [63]
25: [25]
26: [26]
27: [63]
28: [30]
29: [29]
30: [30]
31: [63]
32: [32]
33: [57]
34: [43]
35: [35]
36: [52]
37: [63]
38: [38]
39: [63]
40: [40]
41: [63]
42: [43]
43: [59]
44: [63]
45: [47]
46: [46]
47: [63]
48: [52]
49: [61]
50: [63]
51: [59]
52: [55]
53: [53]
54: [54]
55: [55]
56: [57]
57: [59]
58: [63]
59: [63]
60: [60]
61: [61]
62: [62]
63: [63]
