6
1: [1]
2: [2]
3: [7]
4: [47]
5: [5]
6: [7]
7: [7]
8: [8]
9: [13]
10: [26]
11: [11]
12: [13]
13: [13]
14: [14]
15: [63]
16: [16]
17: [17]
18: [26]
19: [55]
20: [55]
21: [63]
22: [22]
23: [63]
24: [24]
25: [25]
26: [26]
27: [27]
28: [61]
29: [63]
30: [30]
31: [63]
32: [32]
33: [61]
34: [55]
35: [63]
36: [36]
37: [37]
38: [55]
39: [47]
40: [40]
41: [41]
42: [63]
43: [43]
44: [47]
45: [63]
46: [46]
47: [47]
48: [48]
49: [49]
50: [50]
51: [55]
52: [52]
53: [53]
54: [63]
55: [55]
56: [63]
57: [63]
58: [58]
59: [59]
60: [60]
61: [61]
62: [62]
63: [63]
