6
1: [1]
2: [18]
3: [35]
4: [30]
5: [13]
6: [63]
7: [63]
8: [8]
9: [11]
10: [11]
11: [11]
12: [63]
13: [13]
14: [63]
15: [31]
16: [16]
17: [17]
18: [18]
19: [23]
20: [20]
21: [31]
22: [30]
23: [23]
24: [30]
25: [25]
26: [26]
27: [27]
28: [61]
29: [29]
30: [63]
31: [31]
32: [32]
33: [55]
34: [34]
35: [35]
36: [36]
37: [61]
38: [38]
39: [63]
40: [58]
41: [41]
42: [42]
43: [59]
44: [63]
45: [63]
46: [63]
47: [47]
48: [60]
49: [49]
50: [50]
51: [51]
52: [52]
53: [63]
54: [63]
55: [55]
56: [56]
57: [59]
58: [58]
59: [63]
60: [60]
61: [61]
62: [63]
63: [63]
