6
1: [1]
2: [2]
3: [11]
4: [4]
5: [21]
6: [6]
7: [47]
8: [8]
9: [11]
10: [11]
11: [43]
12: [12]
13: [47]
14: [30]
15: [63]
16: [16]
17: [21]
18: [50]
19: [27]
20: [21]
21: [21]
22: [30]
23: [63]
24: [56]
25: [27]
26: [27]
27: [59]
28: [30]
29: [63]
30: [30]
31: [63]
32: [32]
33: [37]
34: [50]
35: [43]
36: [37]
37: [37]
38: [47]
39: [47]
40: [56]
41: [43]
42: [43]
43: [47]
44: [47]
45: [63]
46: [47]
47: [63]
48: [50]
49: [53]
50: [50]
51: [59]
52: [53]
53: [63]
54: [63]
55: [63]
56: [56]
57: [59]
58: [59]
59: [63]
60: [63]
61: [63]
62: [63]
63: [63]
