6
1: [1]
2: [2]
3: [11]
4: [12]
5: [37]
6: [22]
7: [47]
8: [8]
9: [11]
10: [11]
11: [27]
12: [12]
13: [47]
14: [47]
15: [63]
16: [16]
17: [21]
18: [50]
19: [27]
20: [21]
21: [21]
22: [22]
23: [63]
24: [56]
25: [27]
26: [27]
27: [63]
28: [63]
29: [63]
30: [63]
31: [63]
32: [32]
33: [37]
34: [50]
35: [47]
36: [37]
37: [37]
38: [47]
39: [63]
40: [56]
41: [47]
42: [47]
43: [63]
44: [47]
45: [63]
46: [63]
47: [63]
48: [50]
49: [63]
50: [50]
51: [63]
52: [63]
53: [63]
54: [63]
55: [63]
56: [56]
57: [63]
58: [63]
59: [63]
60: [63]
61: [63]
62: [63]
63: [63]
