6
1: [1]
2: [2]
3: [3]
4: [4]
5: [5]
6: [6]
7: [39]
8: [8]
9: [9]
10: [10]
11: [11]
12: [12]
13: [13]
14: [30]
15: [63]
16: [16]
17: [17]
18: [18]
19: [19]
20: [20]
21: [21]
22: [30]
23: [63]
24: [24]
25: [25]
26: [30]
27: [59]
28: [30]
29: [61]
30: [30]
31: [63]
32: [32]
33: [33]
34: [34]
35: [35]
36: [36]
37: [37]
38: [39]
39: [39]
40: [40]
41: [41]
42: [42]
43: [59]
44: [46]
45: [61]
46: [46]
47: [63]
48: [48]
49: [49]
50: [50]
51: [59]
52: [52]
53: [61]
54: [63]
55: [63]
56: [56]
57: [59]
58: [59]
59: [63]
60: [61]
61: [61]
62: [63]
63: [63]
